Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
L,4.271234,-11.304113,2.270757,-4.693602,1.699214,-11.297900,2.353090,-4.501180,2.042690
R,0.111827,-11.544687,2.353924,-4.713012,1.694873,-11.522100,2.457070,-4.471360,2.118490
L,0.967280,-11.778131,2.502883,-4.695397,1.869690,-11.744800,2.564860,-4.439680,2.195100
R,1.482505,-12.032491,2.624299,-4.826738,1.965191,-11.965800,2.676500,-4.406100,2.272460
L,0.369959,-12.275065,2.759566,-4.820755,2.064906,-12.185100,2.792020,-4.370550,2.350510
R,1.350675,-12.512819,2.834081,-4.729306,1.965184,-12.402600,2.911450,-4.333000,2.429180
L,1.359110,-12.721832,3.006844,-4.660925,2.170896,-12.618200,3.034830,-4.293380,2.508400
R,0.403470,-12.945321,3.129229,-4.613041,2.203845,-12.831700,3.162180,-4.251650,2.588100
L,1.828201,-13.138419,3.316172,-4.524555,2.416849,-13.043100,3.293530,-4.207760,2.668210
R,4.890962,-13.328440,3.418655,-4.391563,2.356364,-13.252200,3.428880,-4.161670,2.748650
L,1.598241,-13.509703,3.560481,-4.313872,2.428415,-13.459000,3.568270,-4.113330,2.829350
R,3.775265,-13.739233,3.720103,-4.352867,2.534603,-13.663300,3.711690,-4.062700,2.910220
L,0.526296,-13.943351,3.826805,-4.332863,2.484475,-13.865000,3.859150,-4.009740,2.991180
R,2.590610,-14.136074,3.982060,-4.187184,2.546535,-14.064000,4.010660,-3.954410,3.072140
L,0.505344,-14.323355,4.147372,-4.135539,2.651755,-14.260200,4.166220,-3.896690,3.153030
R,5.404056,-14.548342,4.298588,-4.117213,2.682695,-14.453500,4.325810,-3.836530,3.233730
L,1.315296,-14.727406,4.512962,-4.044264,2.899835,-14.643600,4.489430,-3.773920,3.314170
R,0.225293,-14.925141,4.661228,-3.988330,2.894552,-14.830600,4.657060,-3.708830,3.394250
L,2.948618,-15.069557,4.843206,-3.873404,3.005112,-15.014300,4.828690,-3.641230,3.473880
R,0.733786,-15.248809,4.978494,-3.790767,2.948830,-15.194500,5.004280,-3.571100,3.552940
L,1.287106,-15.427986,5.201689,-3.747926,3.148702,-15.371200,5.183800,-3.498440,3.631350
R,3.019071,-15.585629,5.378972,-3.525960,3.152239,-15.544100,5.367230,-3.423230,3.709010
L,0.483666,-15.786084,5.502041,-3.582921,3.056529,-15.713300,5.554520,-3.345460,3.785810
R,1.785123,-15.958714,5.633954,-3.585487,3.006366,-15.878500,5.745620,-3.265130,3.861640
L,2.337473,-16.083630,5.849334,-3.460825,3.188625,-16.039600,5.940480,-3.182230,3.936400
R,0.758759,-16.250711,5.996763,-3.354146,3.120877,-16.196501,6.139060,-3.096790,4.009990
L,2.984306,-16.374519,6.275580,-3.229651,3.448728,-16.349100,6.341280,-3.008790,4.082290
R,5.130150,-16.518743,6.399173,-3.110592,3.284868,-16.497200,6.547080,-2.918260,4.153200
L,0.867925,-16.670566,6.618087,-3.084710,3.425943,-16.640699,6.756390,-2.825220,4.222610
R,1.017756,-16.832620,6.808970,-3.125531,3.488062,-16.779499,6.969120,-2.729680,4.290420
L,7.773075,-17.024151,7.078886,-3.160303,3.721994,-16.913500,7.185210,-2.631670,4.356500
R,3.020419,-17.147594,7.273297,-2.905260,3.672980,-17.042500,7.404560,-2.531220,4.420770
L,3.174685,-17.233330,7.577146,-2.746139,3.995337,-17.166500,7.627070,-2.428380,4.483100
R,1.227257,-17.372766,7.759121,-2.779511,3.959467,-17.285200,7.852640,-2.323170,4.543390
L,1.505258,-17.493745,7.921134,-2.757764,3.874133,-17.398600,8.081180,-2.215650,4.601530
R,3.454599,-17.604112,8.136995,-2.587837,3.888569,-17.506599,8.312570,-2.105860,4.657420
L,1.606685,-17.738949,8.387954,-2.577020,4.029026,-17.609100,8.546690,-1.993860,4.710950
R,4.418031,-17.824943,8.556025,-2.314152,3.862865,-17.705900,8.783430,-1.879710,4.762020
L,3.624262,-17.876129,8.880024,-2.135689,4.210138,-17.797001,9.022670,-1.763480,4.810520
R,4.376248,-17.954733,9.098298,-1.875988,4.134047,-17.882200,9.264260,-1.645220,4.856370
L,6.543997,-17.943312,9.455719,-1.605874,4.541877,-17.961399,9.508070,-1.525020,4.899460
R,1.669844,-18.007739,9.694357,-1.485307,4.529368,-18.034599,9.753980,-1.402960,4.939700
L,0.221803,-18.089945,9.931924,-1.496639,4.554104,-18.101601,10.001800,-1.279110,4.976990
R,6.570496,-18.183991,10.117170,-1.479148,4.398065,-18.162399,10.251500,-1.153570,5.011250
L,3.505919,-18.176090,10.416530,-1.279274,4.619765,-18.216900,10.502700,-1.026420,5.042390
R,0.898098,-18.261628,10.651846,-1.425046,4.685630,-18.264999,10.755500,-0.897764,5.070320
L,1.146866,-18.329216,10.842365,-1.436649,4.580358,-18.306601,11.009500,-0.767697,5.094980
R,2.115485,-18.383230,11.051174,-1.223959,4.421647,-18.341700,11.264700,-0.636323,5.116270
L,8.800040,-18.344022,11.471417,-0.931167,4.938944,-18.370199,11.520900,-0.503751,5.134140
R,0.774199,-18.385679,11.710424,-0.834760,4.861689,-18.392000,11.778000,-0.370091,5.148520
L,0.046443,-18.417466,11.966222,-0.808468,4.895691,-18.407200,12.035600,-0.235457,5.159340
R,0.788721,-18.452355,12.205959,-0.822569,4.901475,-18.415600,12.293700,-0.099968,5.166540
L,0.561273,-18.489222,12.486842,-0.797333,4.988522,-18.417101,12.552000,0.036256,5.170070
R,3.021565,-18.501258,12.736094,-0.579250,4.884854,-18.411900,12.810500,0.173093,5.169890
L,0.843892,-18.501936,13.038907,-0.492987,5.033978,-18.399799,13.068800,0.310414,5.165940
R,6.126018,-18.500420,13.234677,-0.192849,4.707938,-18.380899,13.326900,0.448093,5.158200
L,2.937987,-18.424925,13.566804,0.031938,4.966467,-18.355000,13.584500,0.585998,5.146630
R,3.539575,-18.411530,13.830615,0.149315,4.941968,-18.322300,13.841400,0.723997,5.131200
L,0.610024,-18.364802,14.108983,0.247643,5.029257,-18.282600,14.097400,0.861956,5.111890
R,3.939463,-18.332881,14.348140,0.480750,4.847840,-18.236099,14.352400,0.999739,5.088680
L,1.025407,-18.285752,14.576690,0.523633,4.824073,-18.182699,14.606100,1.137210,5.061570
R,5.682054,-18.230614,14.801099,0.823299,4.589980,-18.122400,14.858400,1.274230,5.030550
L,1.617104,-18.123009,15.102079,1.001151,4.779097,-18.055300,15.109100,1.410670,4.995620
R,1.320734,-18.061272,15.356063,1.017000,4.833728,-17.981400,15.357800,1.546380,4.956790
L,0.376359,-17.982544,15.609700,1.083495,4.871253,-17.900700,15.604600,1.681220,4.914080
R,3.227036,-17.913089,15.824496,1.144034,4.773090,-17.813299,15.849100,1.815070,4.867500
L,0.742334,-17.820512,16.072124,1.226037,4.806405,-17.719200,16.091200,1.947770,4.817080
R,3.252654,-17.789868,16.307447,1.106101,4.829832,-17.618500,16.330700,2.079200,4.762860
L,5.960309,-17.617785,16.598972,1.388633,4.985385,-17.511299,16.567400,2.209230,4.704860
R,11.026397,-17.493830,16.773223,1.805667,4.505019,-17.397699,16.801100,2.337710,4.643140
L,0.296166,-17.375932,17.029963,1.882686,4.585484,-17.277599,17.031601,2.464520,4.577740
R,7.129682,-17.247643,17.208812,2.232786,4.176325,-17.151199,17.258801,2.589520,4.508710
L,2.531193,-17.076756,17.506973,2.409770,4.396068,-17.018700,17.482401,2.712590,4.436130
R,2.934561,-16.929775,17.689503,2.582830,4.180358,-16.879999,17.702299,2.833610,4.360050
L,0.132013,-16.795670,17.914448,2.601917,4.217155,-16.735399,17.918400,2.952450,4.280540
R,1.362209,-16.644241,18.105678,2.719866,4.092974,-16.584801,18.130301,3.069000,4.197690
L,4.030582,-16.483117,18.261985,2.753423,3.996535,-16.428499,18.338100,3.183130,4.111570
R,0.383096,-16.347049,18.449070,2.776871,3.928602,-16.266500,18.541500,3.294750,4.022280
L,0.656120,-16.158483,18.682083,2.908943,4.025570,-16.099100,18.740299,3.403740,3.929900
R,3.075662,-15.983108,18.855492,3.126245,3.778474,-15.926200,18.934401,3.509990,3.834520
L,1.966459,-15.764614,19.119152,3.306525,3.960988,-15.748100,19.123699,3.613420,3.736260
R,3.220947,-15.584883,19.277670,3.494785,3.656713,-15.564900,19.308001,3.713920,3.635210
L,0.822822,-15.394097,19.499253,3.551025,3.744702,-15.376700,19.487200,3.811400,3.531480
R,3.729463,-15.194334,19.644192,3.769164,3.411546,-15.183800,19.661200,3.905790,3.425180
L,1.297998,-14.955585,19.872772,3.915357,3.550962,-14.986200,19.829700,3.996990,3.316430
R,7.786056,-14.782093,20.010209,3.966774,3.281789,-14.784100,19.992800,4.084950,3.205350
L,1.144052,-14.653263,20.135145,3.783263,3.176936,-14.577700,20.150299,4.169580,3.092060
R,2.222485,-14.463142,20.263569,3.814927,3.048946,-14.367100,20.302000,4.250820,2.976680
L,1.341867,-14.195998,20.459954,4.017626,3.165450,-14.152600,20.448000,4.328620,2.859330
R,3.251927,-13.973219,20.573471,4.196496,2.853462,-13.934200,20.587999,4.402920,2.740150
L,0.356437,-13.781887,20.722173,4.154950,2.859979,-13.712300,20.722000,4.473670,2.619270
R,2.618665,-13.559161,20.825959,4.310527,2.563660,-13.486800,20.849899,4.540850,2.496810
L,0.484815,-13.298325,20.972695,4.428405,2.615863,-13.258200,20.971701,4.604400,2.372910
R,3.534142,-13.044152,21.081397,4.582076,2.440744,-13.026400,21.087200,4.664300,2.247700
L,0.850151,-12.765274,21.245844,4.722219,2.542023,-12.791700,21.196501,4.720530,2.121310
R,0.430294,-12.527772,21.355937,4.763904,2.425712,-12.554300,21.299400,4.773060,1.993880
L,0.483119,-12.241879,21.502503,4.891967,2.490448,-12.314300,21.395901,4.821900,1.865550
R,5.221047,-11.964976,21.578520,5.088012,2.143328,-12.072000,21.486000,4.867020,1.736440
L,2.428158,-11.796659,21.674055,4.870418,2.096223,-11.827600,21.569599,4.908440,1.606680
R,1.634092,-11.538200,21.749473,4.983294,1.867658,-11.581100,21.646700,4.946150,1.476430
L,3.412380,-11.269029,21.798372,5.014099,1.784934,-11.332900,21.717300,4.980170,1.345790
R,1.570887,-11.026116,21.863416,5.045710,1.606098,-11.083000,21.781300,5.010510,1.214910
L,3.068110,-10.819719,21.877523,4.903789,1.463927,-10.831700,21.838800,5.037190,1.083910
R,4.128077,-10.551894,21.914957,5.071875,1.126470,-10.579200,21.889799,5.060250,0.952912
L,0.537707,-10.270611,21.964413,5.138447,1.119999,-10.325600,21.934099,5.079710,0.822051
R,3.903655,-9.999303,21.971341,5.235864,0.840857,-10.071100,21.972000,5.095610,0.691445
L,0.080607,-9.753085,22.002260,5.192240,0.815500,-9.815920,22.003300,5.107990,0.561215
R,2.415106,-9.484285,22.001890,5.291660,0.512685,-9.560190,22.028200,5.116910,0.431476
L,1.891480,-9.277986,22.038270,5.148216,0.520216,-9.304100,22.046499,5.122400,0.302344
R,2.362605,-9.012792,22.022694,5.237377,0.222733,-9.047820,22.058399,5.124530,0.173930
L,0.396813,-8.710054,22.055815,5.349490,0.273835,-8.791510,22.063900,5.123360,0.046341
R,7.231977,-8.440430,22.031726,5.467045,-0.146458,-8.535340,22.063101,5.118950,-0.080317
L,0.459125,-8.136855,22.049024,5.553143,-0.093408,-8.279470,22.055901,5.111370,-0.205944
R,3.332741,-7.840387,22.041865,5.646844,-0.230065,-8.024050,22.042500,5.100680,-0.330441
L,1.613899,-7.626790,22.033991,5.471360,-0.235788,-7.769240,22.022900,5.086970,-0.453715
R,4.808668,-7.355854,21.977781,5.549335,-0.639391,-7.515190,21.997101,5.070310,-0.575677
L,1.195551,-7.148341,21.941908,5.367430,-0.658576,-7.262040,21.965300,5.050780,-0.696241
R,1.190761,-6.866446,21.890229,5.436595,-0.826507,-7.009940,21.927500,5.028470,-0.815324
L,3.644671,-6.735745,21.820734,5.062053,-0.901738,-6.759020,21.883801,5.003460,-0.932849
R,2.937436,-6.511942,21.776110,4.979657,-0.886701,-6.509420,21.834200,4.975840,-1.048740
L,2.199757,-6.365712,21.722577,4.710063,-0.919580,-6.261260,21.778900,4.945690,-1.162940
R,3.891465,-6.113303,21.653893,4.749358,-0.965880,-6.014660,21.717899,4.913120,-1.275370
L,0.313932,-5.865016,21.622771,4.782666,-0.932212,-5.769760,21.651300,4.878220,-1.385970
R,6.516259,-5.631104,21.536232,4.842672,-1.357682,-5.526650,21.579300,4.841070,-1.494690
L,1.048705,-5.325384,21.497672,5.016998,-1.294759,-5.285460,21.501801,4.801780,-1.601480
R,7.662772,-5.027886,21.419843,5.165984,-1.443233,-5.046280,21.419100,4.760450,-1.706280
L,1.534749,-4.805372,21.371578,5.078558,-1.403046,-4.809220,21.331200,4.717170,-1.809060
R,3.192505,-4.570586,21.284106,5.018698,-1.415159,-4.574360,21.238199,4.672040,-1.909780
L,8.092468,-4.255117,21.297457,5.209237,-1.254729,-4.341810,21.140100,4.625170,-2.008400
R,2.713784,-3.972945,21.218717,5.289682,-1.436591,-4.111650,21.037300,4.576640,-2.104890
L,6.447989,-3.881896,21.090257,4.818874,-1.551585,-3.883950,20.929600,4.526560,-2.199220
R,6.608310,-3.638471,20.946001,4.874374,-2.080334,-3.658790,20.817301,4.475040,-2.291370
L,3.563871,-3.392426,20.791998,4.869805,-2.171468,-3.436240,20.700399,4.422160,-2.381330
R,1.551835,-3.171361,20.673665,4.813587,-2.236320,-3.216370,20.579100,4.368030,-2.469070
L,0.224665,-2.901832,20.557612,4.889219,-2.242824,-2.999230,20.453400,4.312750,-2.554600
R,5.362898,-2.615760,20.440646,4.999412,-2.240224,-2.784890,20.323500,4.256400,-2.637890
L,2.562461,-2.472254,20.297068,4.710757,-2.299931,-2.573390,20.189501,4.199100,-2.718950
R,2.444687,-2.231668,20.149359,4.741151,-2.599238,-2.364780,20.051500,4.140930,-2.797770
L,5.044819,-2.059168,19.959053,4.559154,-2.709069,-2.159100,19.909700,4.082000,-2.874370
R,2.685936,-1.839966,19.781543,4.541608,-2.955015,-1.956380,19.764000,4.022380,-2.948740
L,0.366240,-1.630082,19.617834,4.493302,-2.983773,-1.756660,19.614700,3.962170,-3.020890
R,3.319772,-1.386251,19.430041,4.550793,-3.253796,-1.559970,19.461800,3.901470,-3.090850
L,1.323347,-1.236889,19.277694,4.343537,-3.233133,-1.366320,19.305500,3.840360,-3.158610
R,1.065641,-1.021148,19.090102,4.340006,-3.378625,-1.175740,19.145800,3.778920,-3.224210
L,2.135639,-0.915626,18.915081,4.041288,-3.385036,-0.988236,18.982901,3.717250,-3.287660
R,0.757942,-0.697370,18.751951,4.084492,-3.311203,-0.803824,18.816900,3.655420,-3.348990
L,2.476022,-0.556923,18.620630,3.917651,-3.246114,-0.622508,18.647900,3.593510,-3.408210
R,1.197370,-0.369536,18.429050,3.892317,-3.441800,-0.444288,18.476000,3.531610,-3.465360
L,2.389625,-0.292589,18.254531,3.576966,-3.438413,-0.269164,18.301300,3.469790,-3.520470
R,1.904281,-0.129008,18.059810,3.532141,-3.672669,-0.097130,18.123800,3.408130,-3.573570
L,0.260728,0.064226,17.888124,3.577714,-3.652341,0.071825,17.943800,3.346690,-3.624700
R,1.955287,0.266777,17.711058,3.645586,-3.534894,0.237714,17.761200,3.285560,-3.673880
L,0.117335,0.462816,17.541586,3.682971,-3.523039,0.400552,17.576200,3.224790,-3.721150
R,7.727647,0.694710,17.388530,3.814531,-3.477509,0.560361,17.389000,3.164450,-3.766560
L,3.344914,0.758421,17.201502,3.473313,-3.486201,0.717162,17.199400,3.104610,-3.810130
R,1.121761,0.919152,17.004462,3.426106,-3.688145,0.870984,17.007799,3.045330,-3.851920
L,1.741953,0.992299,16.832103,3.163120,-3.653098,1.021850,16.814100,2.986660,-3.891950
R,3.279147,1.151444,16.621433,3.144126,-3.959925,1.169810,16.618500,2.928670,-3.930280
L,1.838206,1.231519,16.406095,2.936884,-3.980170,1.314870,16.420900,2.871420,-3.966950
R,0.206676,1.376085,16.198215,2.923662,-4.066756,1.457100,16.221600,2.814940,-4.001990
L,2.297594,1.633306,15.976312,3.221654,-4.117604,1.596510,16.020599,2.759300,-4.035460
R,3.957966,1.747284,15.772884,3.092582,-4.111261,1.733170,15.817900,2.704540,-4.067390
L,5.959787,1.720985,15.582642,2.607335,-4.049402,1.867110,15.613700,2.650710,-4.097830
R,3.809197,1.881845,15.392611,2.686490,-4.057987,1.998380,15.408000,2.597860,-4.126820
L,0.067325,2.016364,15.182782,2.687218,-4.070619,2.127030,15.200900,2.546020,-4.154420
R,2.226587,2.152398,14.955732,2.660069,-4.320389,2.253110,14.992400,2.495240,-4.180650
L,0.894427,2.331899,14.714311,2.785906,-4.376415,2.376680,14.782700,2.445550,-4.205570
R,1.457496,2.449860,14.477842,2.719121,-4.457709,2.497790,14.571800,2.397000,-4.229220
L,2.345606,2.629242,14.285648,2.833115,-4.411891,2.616500,14.359700,2.349610,-4.251650
R,1.973451,2.783294,14.045123,2.834372,-4.610155,2.732870,14.146500,2.303430,-4.272880
L,0.360628,2.881628,13.822159,2.717912,-4.584536,2.846950,13.932200,2.258470,-4.292980
R,1.836847,2.997953,13.576698,2.661010,-4.633546,2.958820,13.717000,2.214780,-4.311970
L,3.080352,3.006104,13.376266,2.324959,-4.538769,3.068540,13.500900,2.172380,-4.329910
R,2.671947,3.093797,13.180313,2.269873,-4.370549,3.176170,13.283900,2.131290,-4.346820
L,1.197522,3.237915,12.982093,2.348958,-4.342153,3.281770,13.066100,2.091540,-4.362750
R,3.155200,3.375065,12.751602,2.427595,-4.289944,3.385420,12.847500,2.053160,-4.377740
L,7.363642,3.397598,12.625012,2.152880,-4.093796,3.487180,12.628200,2.016170,-4.391820
R,1.553331,3.523123,12.406029,2.171498,-4.232434,3.587130,12.408300,1.980580,-4.405030
L,0.105760,3.654165,12.187365,2.232197,-4.253220,3.685330,12.187600,1.946410,-4.417410
R,1.087746,3.736094,11.973854,2.143394,-4.272125,3.781860,11.966400,1.913700,-4.428980
L,0.325279,3.881824,11.751862,2.246713,-4.302131,3.876780,11.744600,1.882440,-4.439790
R,2.614584,3.966445,11.533587,2.113107,-4.461095,3.970180,11.522300,1.852660,-4.449860
L,2.185996,4.080455,11.266840,2.143449,-4.547891,4.062130,11.299600,1.824370,-4.459220
R,2.961270,4.217416,11.056173,2.232198,-4.494648,4.152700,11.076300,1.797580,-4.467900
L,3.147800,4.247494,10.895493,2.005526,-4.336161,4.241960,10.852700,1.772310,-4.475930
R,0.945389,4.320135,10.678317,1.893990,-4.414346,4.330000,10.628700,1.748580,-4.483330
L,0.049336,4.414140,10.464162,1.890686,-4.401257,4.416890,10.404300,1.726380,-4.490130
R,0.591202,4.525846,10.232790,1.921438,-4.468441,4.502710,10.179600,1.705730,-4.496360
L,0.594825,4.577402,10.017207,1.804169,-4.432171,4.587530,9.954610,1.686630,-4.502030
R,2.884988,4.672935,9.794893,1.763098,-4.545643,4.671430,9.729350,1.669110,-4.507150
L,1.051517,4.714775,9.608016,1.633336,-4.442416,4.754500,9.503850,1.653150,-4.511760
R,10.095380,4.755894,9.451446,1.531458,-4.248693,4.836810,9.278140,1.638780,-4.515870
L,3.970336,4.791177,9.202345,1.435819,-4.301238,4.918440,9.052230,1.625990,-4.519490
R,2.661189,4.888361,8.948394,1.484033,-4.444888,4.999460,8.826160,1.614790,-4.522640
L,1.056701,5.006742,8.683557,1.608966,-4.554781,5.079970,8.599940,1.605190,-4.525320
R,1.960366,5.135107,8.448231,1.806630,-4.482410,5.160030,8.373610,1.597180,-4.527550
L,1.451043,5.231692,8.184469,1.834447,-4.568199,5.239730,8.147170,1.590780,-4.529330
R,1.530993,5.356437,7.933548,1.952541,-4.596468,5.319160,7.920670,1.585980,-4.530680
L,0.636264,5.420477,7.705803,1.868949,-4.571771,5.398380,7.694100,1.582790,-4.531600
R,0.963556,5.544216,7.458039,1.960522,-4.619316,5.477480,7.467510,1.581200,-4.532090
L,3.112992,5.562982,7.243061,1.762787,-4.534213,5.556540,7.240910,1.581220,-4.532150
R,1.832427,5.668762,7.030572,1.929965,-4.363227,5.635640,7.014310,1.582850,-4.531780
L,0.246448,5.791031,6.797339,1.996758,-4.413690,5.714860,6.787750,1.586080,-4.530980
R,3.335350,5.823852,6.591054,1.690524,-4.483510,5.794280,6.561240,1.590930,-4.529750
L,1.421220,5.859202,6.378391,1.571174,-4.423986,5.873980,6.334810,1.597370,-4.528080
R,4.663814,5.933125,6.114970,1.545517,-4.548133,5.954050,6.108480,1.605420,-4.525970
L,0.175517,5.991088,5.905884,1.494462,-4.492329,6.034550,5.882260,1.615070,-4.523410
R,1.204747,6.034346,5.672444,1.296880,-4.603852,6.115580,5.656190,1.626310,-4.520380
L,0.271683,6.078759,5.468054,1.241715,-4.528326,6.197210,5.430280,1.639140,-4.516870
R,0.209431,6.156724,5.233485,1.316959,-4.529988,6.279510,5.204570,1.653560,-4.512880
L,0.399934,6.248962,4.978584,1.385290,-4.617454,6.362580,4.979060,1.669560,-4.508380
R,4.644599,6.299632,4.803442,1.303119,-4.481625,6.446480,4.753800,1.687140,-4.503370
L,4.934915,6.449383,4.473867,1.519341,-4.804504,6.531310,4.528810,1.706280,-4.497810
R,1.362331,6.550206,4.226172,1.715181,-4.756909,6.617120,4.304110,1.726980,-4.491700
L,1.228490,6.676320,3.937835,1.813602,-4.914924,6.704010,4.079740,1.749230,-4.485000
R,0.708018,6.794063,3.690172,1.981646,-4.882862,6.792050,3.855710,1.773020,-4.477700
L,4.068530,6.823265,3.529279,1.821935,-4.615171,6.881320,3.632070,1.798340,-4.469780
R,0.564877,6.899877,3.315964,1.793429,-4.556791,6.971880,3.408850,1.825180,-4.461200
L,5.289959,7.004090,3.182444,1.805751,-4.310016,7.063830,3.186070,1.853520,-4.451940
R,4.369939,7.101084,3.035087,1.948283,-4.073089,7.157230,2.963780,1.883360,-4.441970
L,0.080045,7.206819,2.818616,1.966573,-4.113276,7.252160,2.742000,1.914680,-4.431250
R,3.763084,7.307604,2.611735,1.837497,-4.161058,7.348680,2.520780,1.947460,-4.419770
L,0.241704,7.389639,2.392708,1.819786,-4.186023,7.446880,2.300160,1.981680,-4.407490
R,3.545362,7.468651,2.123968,1.704159,-4.372553,7.546830,2.080180,2.017330,-4.394360
L,0.610741,7.564533,1.858959,1.727636,-4.508128,7.648590,1.860870,2.054400,-4.380370
R,2.646095,7.695695,1.632917,2.003777,-4.496141,7.752240,1.642300,2.092840,-4.365460
L,5.616641,7.836185,1.275064,2.077415,-4.891524,7.857850,1.424490,2.132660,-4.349610
R,3.479397,7.952086,1.090032,2.158305,-4.719495,7.965470,1.207500,2.173820,-4.332770
