Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
R,0.000000,0.201778,0.385989,-1.242571,-2.376961,0.359997,0.600041,-4.800250,0.001659
L,0.051627,0.218459,0.683470,-0.116709,3.570632,0.119984,0.600207,-4.800570,0.004976
R,0.690922,-0.181706,0.759662,-7.424289,2.401436,-0.120044,0.600581,-4.801000,0.009953
L,3.778565,-0.424708,0.730687,-4.500611,1.634487,-0.360093,0.601244,-4.801550,0.016589
R,6.303688,-0.658957,0.592860,-4.054969,1.185050,-0.600170,0.602281,-4.802210,0.024883
L,1.106373,-0.858884,0.636136,-4.035142,1.144153,-0.840279,0.603774,-4.802960,0.034837
R,2.261338,-1.114060,0.666691,-4.412208,0.966512,-1.080420,0.605806,-4.803800,0.046449
L,1.380193,-1.310788,0.696844,-4.323659,0.952698,-1.320610,0.608459,-4.804720,0.059721
R,2.052083,-1.529899,0.700118,-4.339077,0.722615,-1.560840,0.611818,-4.805700,0.074651
L,3.346699,-1.698641,0.719811,-4.205862,0.743794,-1.801120,0.615965,-4.806730,0.091238
R,2.911610,-1.948596,0.711202,-4.447931,0.535147,-2.041450,0.620982,-4.807780,0.109484
L,0.569510,-2.190402,0.744795,-4.490311,0.537834,-2.281820,0.626953,-4.808840,0.129387
R,10.364737,-2.476426,0.652071,-4.762770,0.008455,-2.522250,0.633960,-4.809890,0.150946
L,1.488838,-2.720315,0.679750,-4.761948,0.112505,-2.762730,0.642086,-4.810890,0.174159
R,5.688490,-2.981436,0.696131,-4.757765,0.123533,-3.003250,0.651414,-4.811840,0.199026
L,1.487983,-3.233481,0.731492,-4.776028,0.225110,-3.243810,0.662026,-4.812700,0.225545
R,0.972091,-3.479710,0.701679,-4.794510,0.067775,-3.484410,0.674004,-4.813440,0.253712
L,3.399152,-3.729258,0.646298,-4.828126,-0.149969,-3.725040,0.687432,-4.814030,0.283526
R,1.615855,-3.967654,0.683399,-4.891290,0.021669,-3.965700,0.702391,-4.814450,0.314984
L,3.859621,-4.250846,0.629263,-4.971633,-0.184699,-4.206360,0.718963,-4.814650,0.348081
R,0.211870,-4.492560,0.622736,-4.956894,-0.173499,-4.447030,0.737230,-4.814610,0.382812
L,2.435780,-4.734980,0.677901,-4.938999,0.041278,-4.687690,0.757274,-4.814280,0.419174
R,5.617724,-4.961054,0.744986,-4.967316,0.270358,-4.928320,0.779176,-4.813630,0.457160
L,0.290811,-5.222786,0.746180,-4.993186,0.227231,-5.168900,0.803017,-4.812630,0.496763
R,0.851782,-5.487851,0.726458,-5.107007,0.135716,-5.409430,0.828877,-4.811220,0.537976
L,4.416911,-5.709400,0.822987,-5.032939,0.424774,-5.649860,0.856837,-4.809370,0.580791
R,6.441985,-5.938989,0.913665,-4.775561,0.616407,-5.890200,0.886977,-4.807030,0.625197
L,3.361399,-6.130551,0.932344,-4.691271,0.589290,-6.130400,0.919375,-4.804150,0.671184
R,4.421791,-6.381898,0.974012,-4.967751,0.660424,-6.370440,0.954111,-4.800700,0.718741
L,1.003059,-6.652695,0.968008,-5.015335,0.538720,-6.610280,0.991262,-4.796620,0.767854
R,0.876691,-6.893005,0.994711,-5.010317,0.542168,-6.849910,1.030910,-4.791870,0.818509
L,1.404672,-7.133458,1.088284,-4.981338,0.740437,-7.089280,1.073120,-4.786380,0.870690
R,1.861211,-7.384485,1.076519,-4.925924,0.585568,-7.328350,1.117980,-4.780120,0.924380
L,0.223738,-7.618641,1.121631,-4.901081,0.633959,-7.567090,1.165560,-4.773040,0.979561
R,3.996133,-7.834976,1.157301,-4.839863,0.649669,-7.805450,1.215930,-4.765060,1.036210
L,0.213087,-8.064892,1.188182,-4.818045,0.647170,-8.043390,1.269180,-4.756150,1.094310
R,4.665790,-8.298125,1.296689,-4.855478,0.878117,-8.280850,1.325360,-4.746250,1.153830
L,0.224694,-8.530523,1.329566,-4.838199,0.848372,-8.517790,1.384550,-4.735300,1.214750
R,3.649790,-8.739467,1.360194,-4.493578,0.774599,-8.754160,1.446810,-4.723240,1.277040
L,0.995915,-8.960562,1.461422,-4.476955,0.951823,-8.989890,1.512230,-4.710020,1.340670
R,5.454626,-9.198795,1.486739,-4.731202,0.923575,-9.224930,1.580850,-4.695580,1.405610
L,0.711303,-9.457853,1.501306,-4.777855,0.831151,-9.459210,1.652760,-4.679870,1.471830
R,2.656795,-9.709551,1.498662,-4.906231,0.719665,-9.692680,1.728000,-4.662820,1.539290
L,5.469341,-9.984218,1.643638,-4.942170,1.018652,-9.925260,1.806650,-4.644370,1.607950
R,6.717571,-10.203829,1.772789,-4.788235,1.227854,-10.156900,1.888750,-4.624480,1.677760
L,2.272765,-10.400728,1.873285,-4.703889,1.343036,-10.387500,1.974380,-4.603070,1.748700
R,1.294751,-10.658927,1.965015,-4.879360,1.433600,-10.616900,2.063570,-4.580090,1.820710
L,0.237720,-10.895194,2.017395,-4.868826,1.381878,-10.845200,2.156390,-4.555490,1.893750
R,1.494794,-11.120451,2.110013,-4.815720,1.447577,-11.072200,2.252880,-4.529210,1.967760
