Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
L,1.312698,-6.161003,-1.605982,-2.295890,-4.690194,-6.180869,-1.550250,-2.440139,-4.526483
R,3.013958,-6.302604,-1.855630,-2.585185,-4.812005,-6.304056,-1.775933,-2.485549,-4.497621
L,0.345306,-6.413762,-2.112106,-2.541893,-4.859687,-6.429541,-2.000141,-2.532004,-4.467422
R,3.475712,-6.566203,-2.303129,-2.553713,-4.680126,-6.557376,-2.222807,-2.579462,-4.435853
L,0.575795,-6.716911,-2.505310,-2.617014,-4.586065,-6.687610,-2.443860,-2.627877,-4.402881
R,1.174314,-6.873253,-2.718314,-2.715371,-4.551359,-6.820290,-2.663229,-2.677204,-4.368474
L,2.151167,-6.960282,-3.004020,-2.586029,-4.723384,-6.955460,-2.880843,-2.727396,-4.332600
R,0.155834,-7.087147,-3.230291,-2.537420,-4.672624,-7.093162,-3.096627,-2.778402,-4.295227
L,1.667348,-7.209354,-3.411287,-2.558979,-4.529870,-7.233435,-3.310505,-2.830171,-4.256323
R,4.287427,-7.351777,-3.676480,-2.593068,-4.645641,-7.376317,-3.522399,-2.882652,-4.215858
L,5.443862,-7.513624,-3.784368,-2.730210,-4.303279,-7.521842,-3.732231,-2.935789,-4.173800
R,0.679758,-7.657342,-3.999282,-2.826601,-4.344548,-7.670040,-3.939920,-2.989527,-4.130121
L,0.488725,-7.809137,-4.234389,-2.837737,-4.388766,-7.820942,-4.145385,-3.043807,-4.084790
R,0.357528,-7.956414,-4.462772,-2.851670,-4.415287,-7.974572,-4.348541,-3.098570,-4.037780
L,1.071187,-8.116023,-4.707465,-2.873188,-4.472199,-8.130953,-4.549304,-3.153756,-3.989064
R,1.581212,-8.251707,-4.911198,-2.721747,-4.333263,-8.290105,-4.747588,-3.209302,-3.938615
L,0.119166,-8.378454,-5.125799,-2.703574,-4.331132,-8.452043,-4.943306,-3.265143,-3.886408
R,3.229914,-8.524748,-5.286564,-2.702669,-4.148307,-8.616782,-5.136369,-3.321214,-3.832420
L,2.318112,-8.713790,-5.478079,-2.823744,-4.089078,-8.784330,-5.326687,-3.377447,-3.776628
R,0.405437,-8.870363,-5.682670,-2.889641,-4.105685,-8.954695,-5.514169,-3.433775,-3.719011
L,0.225531,-9.027039,-5.860626,-2.929610,-4.032728,-9.127879,-5.698724,-3.490125,-3.659551
R,5.192403,-9.163812,-6.013217,-2.883445,-3.877759,-9.303882,-5.880259,-3.546428,-3.598229
L,4.571879,-9.344672,-6.091978,-3.020043,-3.577639,-9.482699,-6.058680,-3.602610,-3.535029
R,1.450046,-9.520652,-6.282188,-3.137289,-3.643401,-9.664322,-6.233892,-3.658598,-3.469939
L,0.331341,-9.656367,-6.498166,-3.076213,-3.735372,-9.848741,-6.405802,-3.714314,-3.402945
R,7.815936,-9.881085,-6.665541,-3.368778,-3.750675,-10.035940,-6.574313,-3.769685,-3.334038
L,1.029780,-10.091778,-6.829948,-3.468765,-3.677438,-10.225900,-6.739329,-3.824630,-3.263211
R,0.909992,-10.272950,-6.999297,-3.532561,-3.665804,-10.418590,-6.900754,-3.879073,-3.190457
L,3.995375,-10.511007,-7.184297,-3.660378,-3.646114,-10.613990,-7.058492,-3.932934,-3.115774
R,2.083594,-10.711768,-7.332632,-3.717846,-3.556956,-10.812080,-7.212446,-3.986131,-3.039160
L,3.865941,-10.967245,-7.495475,-3.870659,-3.492893,-11.012800,-7.362519,-4.038585,-2.960619
R,1.466878,-11.143509,-7.646638,-3.766376,-3.387470,-11.216130,-7.508615,-4.090214,-2.880154
L,2.827416,-11.290371,-7.798048,-3.688048,-3.359972,-11.422020,-7.650638,-4.140935,-2.797773
R,1.961023,-11.474922,-7.937355,-3.690226,-3.281009,-11.630420,-7.788492,-4.190665,-2.713485
L,3.347714,-11.657529,-8.028740,-3.719359,-3.104943,-11.841280,-7.922082,-4.239323,-2.627303
R,1.130152,-11.835524,-8.157140,-3.612110,-2.971234,-12.054550,-8.051314,-4.286824,-2.539242
L,1.484215,-12.056326,-8.230423,-3.729720,-2.772180,-12.270170,-8.176094,-4.333085,-2.449321
R,3.081142,-12.284041,-8.370073,-4.018245,-2.895056,-12.488060,-8.296329,-4.378023,-2.357561
L,2.263521,-12.497321,-8.441679,-4.075918,-2.712176,-12.708170,-8.411929,-4.421555,-2.263987
R,1.803306,-12.685059,-8.545967,-3.922228,-2.551945,-12.930420,-8.522802,-4.463597,-2.168626
L,5.640907,-12.979861,-8.621577,-4.149061,-2.385625,-13.154730,-8.628861,-4.504069,-2.071509
R,2.905927,-13.226361,-8.733951,-4.305852,-2.399654,-13.381020,-8.730018,-4.542886,-1.972669
L,2.609203,-13.457613,-8.771669,-4.372958,-2.192419,-13.609220,-8.826188,-4.579969,-1.872143
R,4.047866,-13.648574,-8.838011,-4.152789,-1.980979,-13.839220,-8.917288,-4.615237,-1.769971
L,0.833324,-13.882558,-8.940190,-4.205611,-1.978089,-14.070940,-9.003236,-4.648610,-1.666195
R,2.442447,-14.134467,-9.043053,-4.456810,-2.075959,-14.304280,-9.083954,-4.680010,-1.560863
L,0.243905,-14.369055,-9.152661,-4.478562,-2.085483,-14.539130,-9.159364,-4.709360,-1.454024
R,0.584654,-14.577173,-9.251023,-4.345987,-2.013418,-14.775400,-9.229392,-4.736584,-1.345729
L,4.528219,-14.887617,-9.223402,-4.586838,-1.662129,-15.012980,-9.293968,-4.761607,-1.236035
R,4.370198,-15.133228,-9.319587,-4.574694,-1.663583,-15.251750,-9.353023,-4.784356,-1.125000
L,4.503947,-15.413931,-9.425067,-4.671914,-1.697669,-15.491600,-9.406491,-4.804762,-1.012687
R,2.655953,-15.629887,-9.489262,-4.446545,-1.535508,-15.732410,-9.454310,-4.822755,-0.899159
L,1.988522,-15.901320,-9.552456,-4.551271,-1.482659,-15.974060,-9.496420,-4.838268,-0.784484
R,2.993173,-16.132097,-9.592374,-4.473965,-1.339127,-16.216410,-9.532767,-4.851237,-0.668734
L,2.451025,-16.400493,-9.555900,-4.602514,-1.067038,-16.459351,-9.563299,-4.861599,-0.551980
R,5.032943,-16.591694,-9.591499,-4.451285,-0.993928,-16.702740,-9.587966,-4.869295,-0.434301
L,3.834940,-16.901584,-9.539707,-4.663144,-0.709194,-16.946440,-9.606726,-4.874268,-0.315773
R,6.483537,-17.141362,-9.622068,-4.707331,-0.850448,-17.190331,-9.619537,-4.876462,-0.196479
L,1.083719,-17.422313,-9.617160,-4.814737,-0.715239,-17.434250,-9.626363,-4.875828,-0.076502
R,2.486854,-17.660378,-9.637600,-4.676915,-0.604149,-17.678061,-9.627173,-4.872316,0.044070
L,1.793912,-17.935359,-9.576005,-4.789739,-0.360227,-17.921619,-9.621939,-4.865881,0.165151
R,1.426012,-18.157017,-9.572973,-4.622084,-0.242554,-18.164789,-9.610638,-4.856481,0.286648
L,0.431784,-18.361910,-9.604646,-4.563802,-0.301166,-18.407410,-9.593251,-4.844078,0.408470
R,1.265212,-18.582389,-9.619353,-4.592205,-0.325275,-18.649330,-9.569766,-4.828636,0.530522
L,0.983405,-18.853572,-9.579931,-4.692237,-0.170684,-18.890390,-9.540172,-4.810124,0.652707
R,4.039286,-19.067265,-9.567854,-4.645949,-0.120725,-19.130461,-9.504465,-4.788514,0.774927
L,6.511910,-19.344415,-9.406833,-4.786649,0.313996,-19.369360,-9.462647,-4.763781,0.897083
R,2.540824,-19.556946,-9.364836,-4.557648,0.456537,-19.606939,-9.414724,-4.735906,1.019074
L,4.092844,-19.838036,-9.199697,-4.704114,0.833732,-19.843050,-9.360706,-4.704871,1.140799
R,6.133063,-20.065245,-9.113675,-4.616816,0.981774,-20.077520,-9.300609,-4.670665,1.262153
L,8.143063,-20.220785,-9.267540,-4.413744,0.441961,-20.310209,-9.234455,-4.633280,1.383034
R,0.990415,-20.442932,-9.258736,-4.393200,0.416907,-20.540930,-9.162270,-4.592709,1.503337
L,2.964134,-20.690549,-9.121708,-4.480243,0.720452,-20.769550,-9.084085,-4.548955,1.622957
R,3.442840,-20.919085,-9.068886,-4.374993,0.815216,-20.995899,-8.999938,-4.502020,1.741788
L,1.549563,-21.129753,-8.973919,-4.374216,0.949851,-21.219820,-8.909871,-4.451913,1.859725
R,2.670530,-21.348434,-8.917000,-4.250155,1.025332,-21.441151,-8.813932,-4.398646,1.976663
L,0.118940,-21.549039,-8.872904,-4.225366,1.003115,-21.659740,-8.712172,-4.342235,2.092496
R,7.932151,-21.719420,-8.775665,-3.889724,1.216645,-21.875420,-8.604651,-4.282703,2.207120
L,0.665946,-21.938478,-8.656407,-3.951844,1.373549,-22.088051,-8.491431,-4.220073,2.320430
R,2.196765,-22.139811,-8.567504,-4.010796,1.409833,-22.297461,-8.372581,-4.154374,2.432324
L,2.459319,-22.398586,-8.424072,-4.139836,1.614850,-22.503510,-8.248174,-4.085642,2.542698
R,1.467162,-22.572857,-8.342060,-3.928370,1.660477,-22.706051,-8.118289,-4.013912,2.651451
L,10.401573,-22.855760,-8.023179,-4.147002,2.292176,-22.904921,-7.983010,-3.939227,2.758484
R,5.348529,-23.028762,-7.911859,-3.780625,2.370744,-23.099979,-7.842426,-3.861632,2.863697
L,3.490304,-23.282966,-7.688518,-3.925125,2.660152,-23.291090,-7.696629,-3.781177,2.966995
R,0.767677,-23.478114,-7.543522,-3.941364,2.686513,-23.478100,-7.545719,-3.697916,3.068281
L,0.761002,-23.653922,-7.400141,-3.903282,2.704038,-23.660879,-7.389798,-3.611907,3.167464
R,1.468380,-23.836181,-7.247971,-3.767280,2.778163,-23.839291,-7.228974,-3.523209,3.264451
L,0.832756,-23.998904,-7.173132,-3.708109,2.604902,-24.013189,-7.063359,-3.431889,3.359156
R,3.997541,-24.154698,-7.014742,-3.450511,2.728153,-24.182461,-6.893070,-3.338014,3.451493
L,5.720120,-24.342585,-6.712205,-3.507539,3.163994,-24.346970,-6.718227,-3.241657,3.541377
R,5.084206,-24.496247,-6.565281,-3.218859,3.189828,-24.506599,-6.538955,-3.142893,3.628730
L,4.618482,-24.592403,-6.439253,-3.093728,3.086331,-24.661230,-6.355382,-3.041800,3.713473
R,1.125448,-24.720758,-6.276014,-2.918521,3.133804,-24.810749,-6.167641,-2.938459,3.795532
L,3.674062,-24.926578,-6.025850,-3.042611,3.392428,-24.955050,-5.975869,-2.832955,3.874837
R,2.991751,-25.046717,-5.836361,-2.849933,3.467092,-25.094009,-5.780204,-2.725375,3.951321
L,0.010505,-25.191054,-5.655211,-2.854310,3.487924,-25.227551,-5.580789,-2.615809,4.024918
R,0.507982,-25.334139,-5.480496,-2.802043,3.499481,-25.355560,-5.377771,-2.504349,4.095570
L,1.375635,-25.500579,-5.221039,-2.859953,3.726820,-25.477949,-5.171298,-2.391090,4.163218
R,5.126212,-25.617711,-5.062476,-2.753571,3.657159,-25.594629,-4.961521,-2.276127,4.227811
L,0.140229,-25.744301,-4.890287,-2.732254,3.626848,-25.705521,-4.748596,-2.159561,4.289300
R,1.153556,-25.854302,-4.701815,-2.531806,3.665973,-25.810539,-4.532677,-2.041490,4.347639
L,1.761024,-25.986102,-4.419850,-2.549777,3.926690,-25.909630,-4.313924,-1.922018,4.402788
R,14.223547,-26.086669,-4.230618,-2.085701,3.962895,-26.002701,-4.092498,-1.801248,4.454710
L,3.646447,-26.191926,-3.893741,-2.096973,4.328889,-26.089710,-3.868560,-1.679284,4.503373
R,5.682288,-26.258149,-3.683373,-1.682921,4.348100,-26.170601,-3.642274,-1.556233,4.548748
L,5.902805,-26.292171,-3.389496,-1.595468,4.542040,-26.245300,-3.413805,-1.432200,4.590811
R,2.188583,-26.333796,-3.161216,-1.292594,4.563337,-26.313780,-3.183319,-1.307294,4.629543
L,1.976475,-26.363070,-2.917313,-1.228965,4.599837,-26.375999,-2.950983,-1.181621,4.664928
R,1.618804,-26.411389,-2.702737,-1.086303,4.566552,-26.431910,-2.716966,-1.055291,4.696955
L,3.577526,-26.493897,-2.575830,-1.136114,4.301606,-26.481501,-2.481434,-0.928411,4.725618
R,1.058006,-26.539683,-2.350075,-1.017212,4.336254,-26.524731,-2.244556,-0.801090,4.750913
L,0.277623,-26.602583,-2.147952,-1.038904,4.298818,-26.561590,-2.006501,-0.673434,4.772843
R,2.354065,-26.623248,-1.922137,-0.872336,4.330770,-26.592060,-1.767436,-0.545553,4.791414
L,2.329940,-26.637006,-1.638585,-0.818013,4.505058,-26.616131,-1.527530,-0.417552,4.806636
R,4.887429,-26.625465,-1.432535,-0.406634,4.459735,-26.633810,-1.286948,-0.289538,4.818524
L,0.200100,-26.639036,-1.183096,-0.393806,4.529247,-26.645090,-1.045858,-0.161616,4.827096
R,5.412848,-26.659913,-0.973074,-0.234847,4.488362,-26.649969,-0.804425,-0.033888,4.832376
L,0.769588,-26.682844,-0.686464,-0.252584,4.654338,-26.648479,-0.562811,0.093541,4.834389
R,5.061050,-26.663457,-0.451887,0.113835,4.657529,-26.640631,-0.321181,0.220572,4.833166
L,3.603197,-26.625559,-0.106636,0.178329,4.953674,-26.626450,-0.079695,0.347104,4.828743
R,3.354570,-26.598177,0.134621,0.440428,4.930247,-26.605949,0.161489,0.473041,4.821156
L,1.080799,-26.582537,0.459503,0.435209,5.138556,-26.579170,0.402213,0.598287,4.810449
R,1.245093,-26.558764,0.707593,0.530652,5.110487,-26.546160,0.642323,0.722748,4.796667
L,1.715989,-26.563164,1.000715,0.478686,5.211109,-26.506941,0.881666,0.846334,4.779858
R,5.532091,-26.509859,1.284127,0.583948,5.269121,-26.461580,1.120091,0.968955,4.760074
L,0.681852,-26.469162,1.498277,0.598699,5.138254,-26.410110,1.357453,1.090525,4.737372
R,9.334003,-26.419941,1.706898,0.786742,4.994732,-26.352591,1.593607,1.210961,4.711810
L,0.733350,-26.380297,1.891379,0.778319,4.821838,-26.289080,1.828410,1.330181,4.683449
R,2.723664,-26.304060,2.117866,1.102879,4.757828,-26.219650,2.061726,1.448108,4.652353
L,0.777607,-26.253107,2.287178,1.085300,4.576173,-26.144360,2.293419,1.564667,4.618589
R,0.539504,-26.181420,2.508472,1.194668,4.547581,-26.063280,2.523357,1.679785,4.582228
L,0.248251,-26.110320,2.765886,1.219891,4.627295,-25.976480,2.751414,1.793393,4.543340
R,5.990620,-26.010236,2.983705,1.647543,4.545429,-25.884050,2.977463,1.905426,4.502000
L,1.437105,-25.905978,3.297332,1.701875,4.774407,-25.786051,3.201385,2.015821,4.458284
R,2.708385,-25.814744,3.533514,1.871263,4.743574,-25.682590,3.423063,2.124519,4.412270
L,0.625855,-25.716904,3.718690,1.869153,4.606642,-25.573730,3.642385,2.231463,4.364038
R,2.549352,-25.593361,3.924208,2.100648,4.511504,-25.459579,3.859241,2.336602,4.313670
L,2.984739,-25.538039,4.079961,1.995568,4.324276,-25.340219,4.073527,2.439886,4.261248
R,1.842490,-25.408532,4.277121,2.216441,4.244503,-25.215740,4.285143,2.541269,4.206857
L,2.818027,-25.249324,4.516584,2.310787,4.319957,-25.086250,4.493991,2.640710,4.150582
R,9.184284,-25.088311,4.717920,2.438849,4.275534,-24.951830,4.699982,2.738170,4.092510
L,0.225442,-24.980506,4.910032,2.407953,4.217353,-24.812599,4.903026,2.833613,4.032728
R,3.838093,-24.814638,5.106432,2.654693,4.147084,-24.668650,5.103041,2.927008,3.971324
L,1.172356,-24.649278,5.338162,2.720661,4.214413,-24.520081,5.299948,3.018326,3.908388
R,3.571286,-24.468681,5.525258,3.083003,4.087939,-24.367001,5.493672,3.107543,3.844007
L,1.941266,-24.286403,5.694573,3.125921,3.999729,-24.209520,5.684145,3.194637,3.778271
R,4.799911,-24.114054,5.859228,3.359458,3.852831,-24.047741,5.871299,3.279590,3.711270
L,0.370351,-23.946999,6.011834,3.346853,3.748380,-23.881760,6.055076,3.362388,3.643093
R,1.145738,-23.789182,6.211582,3.204107,3.815012,-23.711710,6.235417,3.443019,3.573830
L,0.339556,-23.639123,6.358359,3.172795,3.699171,-23.537680,6.412271,3.521475,3.503569
R,1.157445,-23.478944,6.538576,3.268468,3.659180,-23.359779,6.585591,3.597751,3.432399
L,3.693258,-23.251199,6.795234,3.410301,3.860512,-23.178129,6.755333,3.671846,3.360409
R,7.057866,-23.043608,6.946890,3.602213,3.715263,-22.992821,6.921459,3.743759,3.287685
L,1.185367,-22.838240,7.117597,3.644978,3.680755,-22.803980,7.083934,3.813497,3.214315
R,3.930587,-22.612351,7.270662,3.940327,3.532544,-22.611710,7.242727,3.881065,3.140384
L,0.716216,-22.442241,7.390749,3.870959,3.381985,-22.416109,7.397815,3.946474,3.065978
R,4.833903,-22.197734,7.542249,4.287633,3.230466,-22.217300,7.549173,4.009736,2.991180
L,1.600579,-22.023840,7.684301,4.204246,3.172507,-22.015381,7.696786,4.070867,2.916073
R,3.567128,-21.822299,7.877282,4.141652,3.281890,-21.810459,7.840639,4.129885,2.840738
L,0.301293,-21.629384,8.001215,4.100639,3.176175,-21.602640,7.980724,4.186809,2.765256
R,1.799497,-21.427642,8.145366,4.182218,3.100228,-21.392031,8.117035,4.241663,2.689706
L,7.249073,-21.231290,8.139164,4.099454,2.686501,-21.178730,8.249571,4.294471,2.614165
R,2.972836,-21.025151,8.305094,4.032899,2.801430,-20.962830,8.378334,4.345261,2.538708
L,2.093184,-20.862855,8.449411,3.958834,2.803347,-20.744450,8.503329,4.394061,2.463411
R,7.185513,-20.601793,8.584630,4.365041,2.682746,-20.523680,8.624568,4.440903,2.388345
L,1.136944,-20.351590,8.723209,4.428466,2.701568,-20.300619,8.742063,4.485819,2.313582
R,0.204282,-20.141195,8.863531,4.356355,2.736245,-20.075350,8.855831,4.528845,2.239190
L,1.049265,-19.963697,8.939971,4.254151,2.574006,-19.847990,8.965893,4.570015,2.165237
R,0.273800,-19.756021,9.060979,4.244305,2.551484,-19.618610,9.072271,4.609368,2.091789
L,1.634581,-19.552555,9.115089,4.197645,2.364776,-19.387300,9.174993,4.646942,2.018910
R,5.659604,-19.293663,9.242569,4.481142,2.311750,-19.154160,9.274090,4.682779,1.946661
L,6.723308,-19.003919,9.336840,4.601697,2.276028,-18.919279,9.369592,4.716918,1.875103
R,2.266810,-18.778169,9.428621,4.688456,2.164251,-18.682720,9.461538,4.749403,1.804293
L,0.706858,-18.525063,9.524730,4.720405,2.139344,-18.444580,9.549965,4.780277,1.734289
R,7.377729,-18.245188,9.574612,5.042073,1.867679,-18.204941,9.634916,4.809585,1.665143
L,1.662085,-17.940089,9.709444,5.165906,1.985520,-17.963869,9.716433,4.837370,1.596910
R,1.865162,-17.676146,9.822327,5.092498,2.073780,-17.721439,9.794565,4.863679,1.529639
L,0.301753,-17.408985,9.918752,5.114522,2.059655,-17.477730,9.869361,4.888556,1.463380
R,0.682008,-17.141966,10.017208,5.231752,1.993506,-17.232821,9.940872,4.912050,1.398179
L,0.027037,-16.879050,10.125521,5.238432,2.014994,-16.986759,10.009150,4.934206,1.334081
R,0.409506,-16.605692,10.212392,5.333894,1.934233,-16.739630,10.074260,4.955070,1.27
