Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
L,0.961029,16.723876,4.631275,4.058586,2.950542,16.612989,4.584899,3.740002,3.284385
R,4.130681,16.885153,4.775333,3.684252,2.863046,16.798290,4.751025,3.668167,3.357042
L,2.456739,17.038279,5.032838,3.594919,3.168844,16.979950,4.920767,3.594156,3.428969
R,1.120892,17.216578,5.167619,3.554284,3.092403,17.157850,5.094087,3.517967,3.500079
L,0.688725,17.368048,5.371355,3.490739,3.226178,17.331881,5.270941,3.439602,3.570283
R,2.398380,17.534187,5.498185,3.400018,3.109242,17.501930,5.451283,3.359066,3.639494
L,0.248115,17.720955,5.637392,3.436542,3.063183,17.667910,5.635059,3.276367,3.707622
R,1.096094,17.876338,5.793023,3.274101,3.029996,17.829691,5.822214,3.191515,3.774579
L,1.807152,18.040177,6.022351,3.251121,3.231622,17.987169,6.012686,3.104526,3.840274
R,1.225795,18.199325,6.203798,3.221775,3.278752,18.140249,6.206410,3.015416,3.904620
L,2.887991,18.312335,6.487115,3.093750,3.598562,18.288811,6.403317,2.924208,3.967526
R,0.789509,18.452721,6.672176,2.971008,3.580496,18.432770,6.603332,2.830926,4.028904
L,0.394641,18.597013,6.822052,2.972316,3.506702,18.572001,6.806376,2.735598,4.088665
R,0.383504,18.754075,7.008101,3.018699,3.545338,18.706409,7.012367,2.638255,4.146722
L,2.053236,18.950771,7.165951,3.112863,3.483821,18.835911,7.221216,2.538932,4.202987
R,4.823521,19.051686,7.324311,2.788076,3.368755,18.960381,7.432831,2.437668,4.257374
L,4.634403,19.126658,7.644759,2.613531,3.774013,19.079750,7.647117,2.334504,4.309797
R,0.088429,19.255963,7.827169,2.593336,3.749807,19.193899,7.863973,2.229486,4.360172
L,2.452660,19.326629,8.077210,2.457463,3.924786,19.302759,8.083295,2.122663,4.408416
R,1.985790,19.431293,8.267824,2.423195,3.915334,19.406219,8.304973,2.014087,4.454448
L,2.441995,19.525209,8.424810,2.384191,3.824979,19.504219,8.528895,1.903813,4.498188
R,0.812978,19.628309,8.599187,2.241604,3.733470,19.596649,8.754945,1.791900,4.539558
L,2.996163,19.783973,8.800184,2.321410,3.757052,19.683451,8.983001,1.678411,4.578481
R,1.857148,19.870273,8.988809,2.109952,3.697084,19.764530,9.212939,1.563411,4.614883
L,3.918687,19.986701,9.259454,2.099640,3.909582,19.839821,9.444632,1.446969,4.648694
R,3.262716,20.046831,9.443539,1.812688,3.796098,19.909250,9.677948,1.329157,4.679842
L,2.231749,20.115955,9.729423,1.734065,4.042993,19.972759,9.912751,1.210049,4.708261
R,7.943049,20.178789,9.973658,1.682028,4.163294,20.030279,10.148900,1.089723,4.733887
L,2.462230,20.215343,10.292279,1.544936,4.452757,20.081751,10.386270,0.968259,4.756658
R,4.434428,20.242252,10.497524,1.238806,4.311520,20.127110,10.624690,0.845742,4.776515
L,2.894305,20.289174,10.810539,1.169473,4.556942,20.166330,10.864040,0.722256,4.793403
R,5.466299,20.316736,11.062903,1.036197,4.594594,20.199341,11.104140,0.597892,4.807270
L,0.158892,20.351654,11.317134,0.992013,4.660176,20.226120,11.344870,0.472738,4.818065
R,13.404765,20.315707,11.524000,0.482818,4.421455,20.246611,11.586050,0.346889,4.825745
L,4.239388,20.379898,11.784035,0.547429,4.503232,20.260799,11.827540,0.220439,4.830266
R,2.267613,20.402005,12.013722,0.624311,4.571005,20.268650,12.069170,0.093487,4.831590
L,2.042344,20.382335,12.339535,0.478591,4.824054,20.270140,12.310780,-0.033869,4.829682
R,6.519181,20.349785,12.538722,0.070229,4.542240,20.265249,12.552220,-0.161529,4.824512
L,1.368053,20.372722,12.792439,0.098381,4.599763,20.253981,12.793310,-0.289390,4.816052
R,2.570232,20.373819,12.991705,-0.023609,4.441446,20.236300,13.033890,-0.417348,4.804279
L,1.223290,20.336083,13.218547,-0.101235,4.465441,20.212231,13.273790,-0.545298,4.789175
R,1.715201,20.304895,13.431125,-0.222161,4.400311,20.181761,13.512860,-0.673135,4.770724
L,1.807743,20.274426,13.725540,-0.295944,4.584656,20.144899,13.750910,-0.800753,4.748916
R,2.565946,20.233585,13.920238,-0.522724,4.376835,20.101669,13.987790,-0.928043,4.723745
L,1.257914,20.164357,14.212635,-0.646470,4.566441,20.052080,14.223320,-1.054898,4.695207
R,2.502432,20.099544,14.419544,-0.825028,4.438283,19.996170,14.457340,-1.181210,4.663306
L,2.732814,19.975271,14.715135,-1.034067,4.641236,19.933950,14.689680,-1.306871,4.628048
R,3.177440,19.912055,14.913058,-1.110733,4.511188,19.865471,14.920160,-1.431773,4.589443
L,1.149162,19.889798,15.140427,-1.040881,4.503543,19.790760,15.148630,-1.555808,4.547507
R,12.468613,19.786891,15.307073,-1.561581,4.032726,19.709881,15.374920,-1.678869,4.502259
L,1.543203,19.755384,15.498752,-1.457350,3.992837,19.622869,15.598860,-1.800848,4.453722
R,1.232216,19.676916,15.675286,-1.518089,3.891389,19.529800,15.820280,-1.921641,4.401925
L,0.943906,19.551917,15.927565,-1.650898,4.042779,19.430710,16.039040,-2.041143,4.346899
R,1.142143,19.454104,16.118935,-1.702546,4.003195,19.325689,16.254950,-2.159249,4.288681
L,0.697229,19.340300,16.320439,-1.765128,4.016696,19.214800,16.467880,-2.275858,4.227312
R,1.850140,19.234208,16.492535,-1.949294,3.815892,19.098120,16.677660,-2.390870,4.162835
L,1.116681,19.082529,16.745593,-2.097202,3.977990,18.975731,16.884130,-2.504184,4.095300
R,10.643368,18.941142,16.914633,-2.493921,3.618294,18.847719,17.087151,-2.615706,4.024759
L,3.297357,18.727298,17.204084,-2.741997,3.897030,18.714180,17.286560,-2.725339,3.951269
R,1.344098,18.607035,17.409056,-2.596700,4.022983,18.575220,17.482229,-2.832993,3.874888
L,4.858830,18.380706,17.638923,-2.824488,4.122623,18.430920,17.674000,-2.938575,3.795682
R,0.817773,18.230593,17.825733,-2.883674,4.032791,18.281401,17.861740,-3.042000,3.713717
L,0.518890,18.118737,18.017815,-2.806671,3.999806,18.126770,18.045309,-3.143182,3.629063
R,6.704020,17.949495,18.154570,-3.094144,3.602831,17.967140,18.224581,-3.242040,3.541796
L,0.664902,17.839457,18.289510,-2.971403,3.486786,17.802629,18.399429,-3.338496,3.451991
R,6.301812,17.712981,18.452529,-3.003397,3.357984,17.633360,18.569719,-3.432473,3.359728
L,1.068192,17.500941,18.664720,-3.164910,3.477853,17.459459,18.735331,-3.523900,3.265092
R,4.143121,17.327772,18.788438,-3.341994,3.183422,17.281050,18.896160,-3.612708,3.168166
L,0.119403,17.172613,18.929278,-3.305861,3.139068,17.098270,19.052080,-3.698831,3.069040
R,3.157273,17.003273,19.090904,-3.400744,3.054534,16.911261,19.202990,-3.782209,2.967804
L,3.832946,16.778431,19.223981,-3.516513,3.031434,16.720150,19.348780,-3.862783,2.864551
R,4.695420,16.583852,19.371596,-3.696825,2.862648,16.525089,19.489370,-3.940499,2.759375
L,1.010287,16.336721,19.560995,-3.862795,2.984507,16.326220,19.624649,-4.015308,2.652373
R,13.120645,16.118094,19.630880,-4.046625,2.615242,16.123680,19.754530,-4.087163,2.543645
L,0.402555,15.905582,19.788386,-4.083213,2.675921,15.917630,19.878941,-4.156022,2.433288
R,1.730290,15.709643,19.905061,-4.051793,2.640736,15.708220,19.997789,-4.221847,2.321406
L,0.769261,15.466855,20.082428,-4.167656,2.750651,15.495590,20.111010,-4.284605,2.208100
R,6.122281,15.235593,20.227143,-4.328411,2.632990,15.279910,20.218531,-4.344266,2.093474
L,1.371697,15.067963,20.357372,-4.212644,2.613510,15.061320,20.320290,-4.400804,1.977632
R,4.946568,14.831895,20.434023,-4.394114,2.298486,14.839990,20.416229,-4.454198,1.860679
L,0.242501,14.622890,20.557212,-4.372608,2.312175,14.616070,20.506300,-4.504432,1.742721
R,3.462417,14.375853,20.643146,-4.575771,2.038168,14.389720,20.590441,-4.551492,1.623862
L,1.205085,14.133126,20.719545,-4.597155,1.989846,14.161100,20.668631,-4.595370,1.504208
R,2.068751,13.887914,20.788294,-4.745268,1.736027,13.930370,20.740810,-4.636061,1.383865
L,2.016735,13.606879,20.860334,-4.843662,1.719648,13.697690,20.806971,-4.673567,1.262937
R,5.079551,13.354441,20.887570,-5.011251,1.324475,13.463220,20.867060,-4.707889,1.141531
L,0.527422,13.118419,20.925099,-4.963014,1.261369,13.227110,20.921080,-4.739038,1.019748
R,2.138170,12.876094,20.980992,-5.010309,1.134686,12.989530,20.969009,-4.767024,0.897694
L,1.861488,12.707276,21.016394,-4.801939,1.066553,12.750630,21.010820,-4.791865,0.775469
R,3.822362,12.437355,21.057337,-4.967169,0.880675,12.510560,21.046530,-4.813579,0.653175
L,0.012589,12.194005,21.101488,-4.954984,0.879411,12.269490,21.076120,-4.832191,0.530912
R,2.633685,11.947073,21.117221,-5.046760,0.625967,12.027570,21.099609,-4.847729,0.408778
L,2.837243,11.718787,21.088607,-4.961577,0.498837,11.784960,21.117001,-4.860224,0.286869
R,2.608337,11.459610,21.072121,-5.054572,0.259209,11.541790,21.128300,-4.869711,0.165281
L,0.690885,11.263139,21.066215,-4.907566,0.205639,11.298230,21.133530,-4.876229,0.044106
R,5.990388,10.991523,21.026355,-5.035976,-0.054105,11.054410,21.132721,-4.879818,-0.076565
L,0.855378,10.802218,20.988896,-4.866369,-0.140381,10.810490,21.125891,-4.880526,-0.196643
R,3.671178,10.528257,20.989129,-4.946861,-0.117187,10.566610,21.113079,-4.878398,-0.316040
L,1.865194,10.226961,21.038488,-5.104007,0.006469,10.322910,21.094320,-4.873488,-0.434674
R,2.277045,9.966562,21.019840,-5.193666,-0.215260,10.079520,21.069660,-4.865850,-0.552463
L,2.347408,9.813589,20.976826,-4.913084,-0.305630,9.836580,21.039129,-4.855539,-0.669327
R,0.155114,9.563482,20.964307,-4.930941,-0.311255,9.594224,21.002781,-4.842616,-0.785189
L,1.461112,9.403868,20.914709,-4.698645,-0.399116,9.352578,20.960670,-4.827144,-0.899977
R,3.247113,9.173631,20.868159,-4.767166,-0.668049,9.111770,20.912849,-4.809186,-1.013619
L,1.546584,8.851688,20.852065,-4.985051,-0.614188,8.871920,20.859381,-4.788810,-1.126048
R,6.598124,8.626842,20.769576,-4.974907,-0.904722,8.633149,20.800329,-4.766084,-1.237197
L,3.022551,8.340680,20.690531,-5.057489,-0.961292,8.395572,20.735750,-4.741079,-1.347006
R,1.357288,8.087802,20.612139,-5.108478,-1.186240,8.159301,20.665720,-4.713869,-1.455416
L,0.422405,7.860324,20.529029,-5.028554,-1.237766,7.924445,20.590309,-4.684526,-1.562369
R,4.966030,7.623275,20.444654,-5.062747,-1.509002,7.691106,20.509590,-4.653129,-1.667815
L,0.993922,7.297579,20.387722,-5.255332,-1.459021,7.459388,20.423651,-4.619752,-1.771702
R,0.570407,7.033776,20.294524,-5.277321,-1.577741,7.229386,20.332550,-4.584476,-1.873985
L,0.080965,6.789126,20.206926,-5.224853,-1.597763,7.001193,20.236380,-4.547379,-1.974620
R,0.814369,6.537330,20.116786,-5.222870,-1.704829,6.774898,20.135220,-4.508543,-2.073567
L,0.352136,6.320122,20.020761,-5.105576,-1.732538,6.550586,20.029160,-4.468049,-2.170789
R,3.698668,6.082236,19.927453,-5.097665,-1.888370,6.328338,19.918289,-4.425978,-2.266252
L,0.031272,5.840385,19.830479,-5.062985,-1.895192,6.108230,19.802691,-4.382413,-2.359926
R,3.414677,5.573309,19.687889,-5.149564,-2.225963,5.890335,19.682449,-4.337438,-2.451782
L,3.857215,5.459435,19.554459,-4.768217,-2.287640,5.674721,19.557671,-4.291136,-2.541796
R,3.024601,5.241242,19.404440,-4.736429,-2.485887,5.461452,19.428440,-4.243590,-2.629947
L,1.815252,5.059351,19.298878,-4.598199,-2.458525,5.250589,19.294849,-4.194883,-2.716216
R,4.258168,4.864161,19.184208,-4.510192,-2.456297,5.042187,19.157000,-4.145100,-2.800587
L,1.885295,4.740234,19.034598,-4.236383,-2.518968,4.836298,19.014971,-4.094322,-2.883047
R,2.661580,4.507497,18.882189,-4.332130,-2.774648,4.632969,18.868879,-4.042634,-2.963587
L,1.231595,4.355105,18.750307,-4.165365,-2.769902,4.432244,18.718800,-3.990117,-3.042199
R,0.950383,4.165622,18.605398,-4.115634,-2.794545,4.234162,18.564850,-3.936854,-3.118879
L,2.525267,4.076418,18.454390,-3.805755,-2.828584,4.038758,18.407110,-3.882925,-3.193624
R,8.825653,3.866686,18.278713,-3.925154,-3.267738,3.846064,18.245689,-3.828411,-3.266436
L,1.270619,3.586272,18.133229,-4.151637,-3.225520,3.656107,18.080669,-3.773392,-3.337317
R,3.057613,3.413324,17.982834,-4.048836,-3.137609,3.468909,17.912161,-3.717946,-3.406272
L,0.439411,3.180637,17.816462,-4.126735,-3.152419,3.284491,17.740250,-3.662152,-3.473310
R,3.121476,2.962865,17.632508,-4.189125,-3.442229,3.102868,17.565041,-3.606085,-3.538439
L,5.875340,2.815492,17.512773,-4.035248,-3.350592,2.924051,17.386620,-3.549823,-3.601673
R,4.393159,2.641107,17.296627,-3.986612,-3.700308,2.748048,17.205080,-3.493438,-3.663024
L,0.359650,2.486337,17.103825,-3.866330,-3.716672,2.574864,17.020531,-3.437004,-3.722509
R,1.058807,2.303405,16.938265,-3.824487,-3.535498,2.404499,16.833040,-3.380593,-3.780145
L,0.759639,2.165434,16.769520,-3.683750,-3.522918,2.236950,16.642731,-3.324275,-3.835952
R,4.095618,1.962426,16.570157,-3.730437,-3.562040,2.072212,16.449659,-3.268118,-3.889950
L,3.340452,1.826854,16.342621,-3.585497,-3.653122,1.910273,16.253950,-3.212192,-3.942161
R,0.177719,1.652117,16.164110,-3.574202,-3.649794,1.751122,16.055660,-3.156560,-3.992610
L,0.413940,1.461322,15.998977,-3.609396,-3.618195,1.594741,15.854900,-3.101288,-4.041322
R,4.190532,1.301432,15.764056,-3.564325,-4.005699,1.441111,15.651740,-3.046439,-4.088322
L,0.772047,1.148825,15.540962,-3.492225,-4.046708,1.290209,15.446280,-2.992073,-4.133638
R,0.459533,0.967038,15.345657,-3.513181,-4.042956,1.142010,15.238590,-2.938250,-4.177299
L,0.825781,0.766079,15.122245,-3.578598,-4.082071,0.996486,15.028760,-2.885028,-4.219333
R,2.040121,0.609213,14.940371,-3.519314,-3.978113,0.853604,14.816860,-2.832463,-4.259770
L,2.562209,0.551238,14.734024,-3.200034,-3.985149,0.713330,14.602990,-2.780610,-4.298641
R,3.420259,0.414873,14.487889,-3.133563,-4.305261,0.575628,14.387200,-2.729522,-4.335977
L,0.182186,0.256425,14.261394,-3.137241,-4.325640,0.440459,14.169590,-2.679249,-4.371810
R,2.773651,0.098145,14.003310,-3.135355,-4.664130,0.307779,13.950220,-2.629841,-4.406172
L,7.608582,0.140408,13.758171,-2.595248,-4.669671,0.177545,13.729160,-2.581347,-4.439094
R,0.769727,0.015752,13.511542,-2.578852,-4.818174,0.049710,13.506500,-2.533811,-4.470610
L,0.172070,-0.142673,13.272590,-2.659029,-4.816931,-0.075775,13.282290,-2.487279,-4.500752
R,0.618919,-0.278724,13.053299,-2.672986,-4.663343,-0.198962,13.056610,-2.441793,-4.529552
L,6.194955,-0.236626,12.842212,-2.196585,-4.606101,-0.319903,12.829520,-2.397395,-4.557043
R,1.743430,-0.374087,12.612900,-2.276113,-4.520028,-0.438654,12.601080,-2.354123,-4.583257
L,0.024606,-0.483844,12.383219,-2.264865,-4.526268,-0.555273,12.371360,-2.312016,-4.608226
R,2.438834,-0.623884,12.169929,-2.338454,-4.522214,-0.669818,12.140430,-2.271110,-4.631982
L,1.008028,-0.679860,11.961549,-2.172760,-4.482761,-0.782350,11.908330,-2.231440,-4.654556
R,1.863697,-0.826529,11.725122,-2.273694,-4.561689,-0.892931,11.675130,-2.193038,-4.675979
L,1.819347,-1.028645,11.476744,-2.515127,-4.611065,-1.001627,11.440890,-2.155937,-4.696281
R,1.872129,-1.136915,11.248095,-2.478005,-4.510863,-1.108503,11.205650,-2.120166,-4.715491
L,0.509338,-1.309088,11.022590,-2.609978,-4.520115,-1.213625,10.969480,-2.085754,-4.733638
R,2.544177,-1.412247,10.768572,-2.498781,-4.804731,-1.317063,10.732430,-2.052728,-4.750751
L,0.494494,-1.525825,10.511591,-2.468492,-4.832604,-1.418886,10.494540,-2.021113,-4.766857
R,1.378442,-1.637690,10.239948,-2.413398,-5.023029,-1.519166,10.255870,-1.990935,-4.781982
L,2.727600,-1.699152,10.035617,-2.248307,-4.921044,-1.617975,10.016470,-1.962215,-4.796150
R,0.806369,-1.788882,9.804754,-2.190689,-4.855127,-1.715386,9.776375,-1.934975,-4.809388
L,1.532869,-1.833952,9.594595,-2.011431,-4.775952,-1.811474,9.535641,-1.909235,-4.821717
R,2.071624,-1.963147,9.331922,-2.060739,-4.971450,-1.906314,9.294310,-1.885015,-4.833160
L,4.242277,-2.035963,9.035303,-1.982298,-5.050790,-1.999983,9.052426,-1.862331,-4.843738
R,1.908521,-2.114771,8.814595,-1.944765,-4.899952,-2.092558,8.810032,-1.841199,-4.853471
L,0.070589,-2.201453,8.566370,-1.916187,-4.902215,-2.184116,8.567169,-1.821636,-4.862378
R,1.959339,-2.344041,8.301065,-2.037002,-4.996427,-2.274737,8.323878,-1.803653,-4.870475
L,1.801202,-2.364928,8.081681,-1.810734,-4.907065,-2.364500,8.080199,-1.787265,-4.877779
R,5.715572,-2.412003,7.875574,-1.678235,-4.831191,-2.453484,7.836172,-1.772481,-4.884304
L,0.324886,-2.530311,7.622535,-1.774337,-4.868129,-2.541771,7.591835,-1.759313,-4.890064
R,3.680949,-2.695907,7.379816,-2.033568,-4.777714,-2.629442,7.347226,-1.747769,-4.895069
L,0.213779,-2.802645,7.126587,-2.050181,-4.807887,-2.716576,7.102382,-1.737856,-4.899332
R,2.461575,-2.858772,6.893629,-1.857298,-4.910115,-2.803258,6.857341,-1.729583,-4.902861
L,2.791284,-2.875449,6.703829,-1.638623,-4.757122,-2.889567,6.612138,-1.722953,-4.905662
R,3.053172,-2.914231,6.494096,-1.566881,-4.568021,-2.975588,6.366810,-1.717972,-4.907743
L,0.323204,-2.968770,6.264807,-1.502894,-4.555651,-3.061402,6.121393,-1.714642,-4.909108
R,3.859703,-3.100216,6.005000,-1.617706,-4.742120,-3.147091,5.875923,-1.712966,-4.909760
L,1.997341,-3.196586,5.720468,-1.672603,-4.848875,-3.232740,5.630435,-1.712946,-4.909701
R,1.636824,-3.303700,5.469698,-1.803742,-4.779570,-3.318429,5.384965,-1.714580,-4.908930
L,0.570918,-3.412245,5.202068,-1.860972,-4.853467,-3.404243,5.139548,-1.717867,-4.907446
R,0.567598,-3.478195,4.955704,-1.723437,-4.931219,-3.490264,4.894220,-1.722807,-4.905246
L,1.637629,-3.609294,4.659748,-1.855224,-5.076525,-3.576574,4.649018,-1.729394,-4.902326
R,1.706249,-3.712944,4.404443,-1.971921,-4.991145,-3.663255,4.403976,-1.737625,-4.898679
L,1.530819,-3.862192,4.117997,-2.110529,-5.120998,-3.750390,4.159132,-1.747494,-4.894300
R,1.629852,-3.936167,3.882302,-1.927579,-5.132819,-3.838060,3.914523,-1.758994,-4.889177
L,1.249363,-3.993017,3.664456,-1.820728,-5.000334,-3.926347,3.670186,-1.772118,-4.883302
R,4.083639,-4.075208,3.479319,-1.860040,-4.763860,-4.015331,3.426159,-1.786856,-4.876663
L,0.027590,-4.166043,3.236845,-1.856355,-4.772983,-4.105094,3.182480,-1.803198,-4.869246
R,0.560669,-4.283589,2.975981,-1.981091,-4.814608,-4.195715,2.939189,-1.821133,-4.861036
L,1.308257,-4.380656,2.691873,-1.988804,-4.930277,-4.287274,2.696326,-1.840648,-4.852019
R,0.236437,-4.465830,2.444458,-1.905640,-4.946145,-4.379848,2.453932,-1.861730,-4.842177
L,0.444860,-4.573965,2.168444,-1.938583,-5.039289,-4.473517,2.212048,-1.884364,-4.831491
R,3.862500,-4.674432,1.946797,-2.127961,-4.885408,-4.568357,1.970717,-1.908533,-4.819942
L,1.179582,-4.799848,1.656689,-2.170582,-5.037191,-4.664445,1.729983,-1.934219,-4.807509
R,0.217141,-4.921286,1.406015,-2.258047,-5.027802,-4.761856,1.489891,-1.961404,-4.794169
L,5.502213,-4.972809,1.195078,-2.140128,-4.859538,-4.860665,1.250487,-1.990068,-4.779901
R,1.022212,-5.063799,0.996561,-2.070226,-4.718381,-4.960945,1.011817,-2.020190,-4.764679
L,3.769011,-5.116975,0.779917,-1.977725,-4.627630,-5.062768,0.773930,-2.051745,-4.748478
R,5.778333,-5.219866,0.453192,-2.067232,-4.920697,-5.166206,0.536876,-2.084711,-4.731272
L,1.579313,-5.291374,0.220292,-2.010855,-4.863642,-5.271329,0.300706,-2.119061,-4.713034
R,6.375389,-5.400033,-0.070736,-1.895488,-5.012934,-5.378204,0.065472,-2.154769,-4.693737
L,1.820848,-5.464661,-0.294090,-1.848995,-4.916776,-5.486900,-0.168772,-2.191805,-4.673350
R,4.720095,-5.582143,-0.456138,-2.011860,-4.672572,-5.597482,-0.401971,-2.230141,-4.651846
L,2.919423,-5.716153,-0.618803,-2.104264,-4.459732,-5.710014,-0.634069,-2.269743,-4.629193
R,5.305812,-5.832429,-0.845845,-2.353791,-4.512174,-5.824559,-0.865006,-2.310579,-4.605362
L,1.395494,-5.932308,-1.129026,-2.294568,-4.686583,-5.941177,-1.094723,-2.352615,-4.580321
R,2.553125,-6.020541,-1.410528,-2.216828,-4.827309,-6.059928,-1.323159,-2.395814,-4.554039
